work_order_id,product_sku,factory_id,planned_quantity,completed_quantity,start_date,end_date,status,priority
WO-2025-000223,FG-AUTOSYS-061,FAC-US-01,500,500,2025-07-07,2025-07-16,COMPLETED,STANDARD
WO-2025-000224,FG-AUTOSYS-098,FAC-US-01,50,50,2025-10-26,2025-10-30,COMPLETED,HIGH
WO-2025-000225,FG-AUTOSYS-035,FAC-APAC-01,50,50,2025-09-21,2025-10-01,COMPLETED,HIGH
WO-2025-000226,FG-AUTOSYS-085,FAC-EU-01,500,500,2025-08-28,2025-09-11,COMPLETED,HIGH
WO-2025-000227,FG-AUTOSYS-098,FAC-EU-01,1000,1000,2026-01-05,2026-01-15,COMPLETED,CRITICAL
WO-2025-000228,FG-AUTOSYS-017,FAC-APAC-01,500,500,2026-03-17,2026-03-27,COMPLETED,STANDARD
WO-2025-000229,FG-AUTOSYS-001,FAC-EU-01,1000,1000,2026-03-23,2026-04-01,COMPLETED,HIGH
WO-2025-000230,FG-AUTOSYS-029,FAC-APAC-01,50,50,2025-03-10,2025-03-17,COMPLETED,CRITICAL
WO-2025-000231,FG-AUTOSYS-044,FAC-MX-01,1000,1000,2025-11-20,2025-12-02,COMPLETED,HIGH
WO-2025-000232,FG-AUTOSYS-069,FAC-EU-01,500,500,2025-03-15,2025-03-29,COMPLETED,STANDARD
WO-2025-000233,FG-AUTOSYS-080,FAC-MX-01,50,50,2026-03-14,2026-03-26,COMPLETED,CRITICAL
WO-2025-000234,FG-AUTOSYS-098,FAC-EU-01,100,100,2026-01-10,2026-01-20,COMPLETED,STANDARD
WO-2025-000235,FG-AUTOSYS-013,FAC-US-01,250,250,2025-03-21,2025-04-01,COMPLETED,CRITICAL
WO-2025-000236,FG-AUTOSYS-032,FAC-MX-01,250,250,2025-10-04,2025-10-18,COMPLETED,STANDARD
WO-2025-000237,FG-AUTOSYS-091,FAC-EU-01,100,100,2025-03-05,2025-03-14,COMPLETED,HIGH
WO-2025-000238,FG-AUTOSYS-030,FAC-MX-01,500,500,2026-02-24,2026-03-03,COMPLETED,STANDARD
WO-2025-000239,FG-AUTOSYS-068,FAC-APAC-01,250,250,2025-04-08,2025-04-18,COMPLETED,CRITICAL
WO-2025-000240,FG-AUTOSYS-092,FAC-APAC-01,250,250,2025-05-06,2025-05-12,COMPLETED,STANDARD
WO-2025-000241,FG-AUTOSYS-027,FAC-APAC-01,250,250,2025-06-18,2025-07-01,COMPLETED,STANDARD
WO-2025-000242,FG-AUTOSYS-081,FAC-US-01,100,100,2025-06-18,2025-07-01,COMPLETED,STANDARD
WO-2025-000243,FG-AUTOSYS-100,FAC-MX-01,50,50,2025-02-09,2025-02-18,COMPLETED,STANDARD
WO-2025-000244,FG-AUTOSYS-017,FAC-MX-01,1000,1000,2025-04-28,2025-05-12,COMPLETED,HIGH
WO-2025-000245,FG-AUTOSYS-082,FAC-MX-01,50,50,2025-12-12,2025-12-19,COMPLETED,CRITICAL
WO-2025-000246,FG-AUTOSYS-038,FAC-APAC-01,1000,1000,2025-08-24,2025-08-28,COMPLETED,STANDARD
WO-2025-000247,FG-AUTOSYS-047,FAC-US-01,1000,1000,2025-03-26,2025-03-30,COMPLETED,CRITICAL
WO-2025-000248,FG-AUTOSYS-028,FAC-APAC-01,100,100,2026-02-26,2026-03-01,COMPLETED,HIGH
WO-2025-000249,FG-AUTOSYS-081,FAC-MX-01,1000,1000,2026-03-12,2026-03-26,COMPLETED,HIGH
WO-2025-000250,FG-AUTOSYS-007,FAC-APAC-01,50,0,2026-04-25,2026-05-05,PLANNED,STANDARD
WO-2025-000251,FG-AUTOSYS-046,FAC-MX-01,500,500,2025-07-09,2025-07-18,COMPLETED,CRITICAL
WO-2025-000252,FG-AUTOSYS-080,FAC-APAC-01,500,500,2026-01-20,2026-02-01,COMPLETED,HIGH
WO-2025-000253,FG-AUTOSYS-043,FAC-MX-01,1000,1000,2025-12-13,2025-12-17,COMPLETED,CRITICAL
WO-2025-000254,FG-AUTOSYS-002,FAC-EU-01,1000,1000,2025-02-21,2025-03-07,COMPLETED,CRITICAL
WO-2025-000255,FG-AUTOSYS-046,FAC-APAC-01,250,250,2025-12-21,2025-12-27,COMPLETED,CRITICAL
WO-2025-000256,FG-AUTOSYS-079,FAC-US-01,50,50,2025-09-27,2025-10-04,COMPLETED,STANDARD
WO-2025-000257,FG-AUTOSYS-011,FAC-US-01,1000,1000,2025-09-11,2025-09-22,COMPLETED,HIGH
WO-2025-000258,FG-AUTOSYS-073,FAC-APAC-01,250,250,2025-06-03,2025-06-13,COMPLETED,CRITICAL
WO-2025-000259,FG-AUTOSYS-020,FAC-US-01,250,250,2026-01-02,2026-01-06,COMPLETED,CRITICAL
WO-2025-000260,FG-AUTOSYS-033,FAC-US-01,50,50,2025-03-24,2025-04-01,COMPLETED,CRITICAL
WO-2025-000261,FG-AUTOSYS-058,FAC-MX-01,50,50,2025-04-27,2025-05-04,COMPLETED,HIGH
WO-2025-000262,FG-AUTOSYS-094,FAC-US-01,250,250,2025-05-20,2025-05-25,COMPLETED,CRITICAL
WO-2025-000263,FG-AUTOSYS-023,FAC-EU-01,100,100,2025-07-15,2025-07-28,COMPLETED,HIGH
WO-2025-000264,FG-AUTOSYS-073,FAC-US-01,100,100,2025-01-20,2025-01-24,COMPLETED,CRITICAL
WO-2025-000265,FG-AUTOSYS-003,FAC-EU-01,250,250,2025-09-30,2025-10-08,COMPLETED,HIGH
WO-2025-000266,FG-AUTOSYS-095,FAC-US-01,500,0,2026-05-19,2026-05-28,PLANNED,CRITICAL
WO-2025-000267,FG-AUTOSYS-057,FAC-EU-01,1000,1000,2025-05-17,2025-05-20,COMPLETED,HIGH
WO-2025-000268,FG-AUTOSYS-055,FAC-US-01,100,100,2026-02-22,2026-02-27,COMPLETED,HIGH
WO-2025-000269,FG-AUTOSYS-056,FAC-US-01,50,50,2025-02-27,2025-03-08,COMPLETED,STANDARD
WO-2025-000270,FG-AUTOSYS-050,FAC-EU-01,250,250,2025-04-26,2025-05-06,COMPLETED,STANDARD
WO-2025-000271,FG-AUTOSYS-064,FAC-MX-01,100,100,2025-07-15,2025-07-24,COMPLETED,STANDARD
WO-2025-000272,FG-AUTOSYS-044,FAC-MX-01,250,250,2026-02-07,2026-02-16,COMPLETED,HIGH
WO-2025-000273,FG-AUTOSYS-084,FAC-MX-01,250,0,2026-05-04,2026-05-14,PLANNED,HIGH
WO-2025-000274,FG-AUTOSYS-054,FAC-EU-01,1000,1000,2025-11-26,2025-12-08,COMPLETED,STANDARD
WO-2025-000275,FG-AUTOSYS-054,FAC-EU-01,1000,1000,2025-03-04,2025-03-17,COMPLETED,HIGH
WO-2025-000276,FG-AUTOSYS-092,FAC-MX-01,1000,1000,2025-09-26,2025-10-04,COMPLETED,CRITICAL
WO-2025-000277,FG-AUTOSYS-015,FAC-APAC-01,1000,1000,2026-03-26,2026-03-31,COMPLETED,STANDARD
WO-2025-000278,FG-AUTOSYS-071,FAC-APAC-01,1000,1000,2025-07-03,2025-07-11,COMPLETED,STANDARD
WO-2025-000279,FG-AUTOSYS-081,FAC-EU-01,1000,1000,2025-02-20,2025-02-26,COMPLETED,STANDARD
WO-2025-000280,FG-AUTOSYS-095,FAC-US-01,250,250,2026-03-12,2026-03-22,COMPLETED,HIGH
WO-2025-000281,FG-AUTOSYS-011,FAC-MX-01,500,500,2025-06-05,2025-06-17,COMPLETED,STANDARD
WO-2025-000282,FG-AUTOSYS-030,FAC-APAC-01,100,100,2025-07-03,2025-07-07,COMPLETED,CRITICAL
WO-2025-000283,FG-AUTOSYS-043,FAC-US-01,50,50,2026-02-01,2026-02-07,COMPLETED,HIGH
WO-2025-000284,FG-AUTOSYS-096,FAC-APAC-01,250,250,2025-05-08,2025-05-21,COMPLETED,HIGH
WO-2025-000285,FG-AUTOSYS-036,FAC-APAC-01,50,50,2026-04-03,2026-04-06,COMPLETED,HIGH
WO-2025-000286,FG-AUTOSYS-044,FAC-US-01,100,100,2025-07-18,2025-07-26,COMPLETED,CRITICAL
WO-2025-000287,FG-AUTOSYS-074,FAC-APAC-01,100,100,2025-08-27,2025-09-04,COMPLETED,STANDARD
WO-2025-000288,FG-AUTOSYS-018,FAC-MX-01,100,100,2025-05-03,2025-05-12,COMPLETED,HIGH
WO-2025-000289,FG-AUTOSYS-003,FAC-MX-01,250,250,2025-07-14,2025-07-24,COMPLETED,STANDARD
WO-2025-000290,FG-AUTOSYS-051,FAC-APAC-01,1000,1000,2025-06-12,2025-06-17,COMPLETED,CRITICAL
WO-2025-000291,FG-AUTOSYS-066,FAC-US-01,50,50,2025-06-08,2025-06-16,COMPLETED,CRITICAL
WO-2025-000292,FG-AUTOSYS-079,FAC-EU-01,500,500,2025-05-13,2025-05-23,COMPLETED,HIGH
WO-2025-000293,FG-AUTOSYS-026,FAC-EU-01,50,50,2025-03-27,2025-04-05,COMPLETED,HIGH
WO-2025-000294,FG-AUTOSYS-084,FAC-APAC-01,250,250,2025-01-21,2025-01-24,COMPLETED,CRITICAL
WO-2025-000295,FG-AUTOSYS-079,FAC-MX-01,50,50,2025-11-26,2025-12-05,COMPLETED,STANDARD
WO-2025-000296,FG-AUTOSYS-025,FAC-MX-01,500,500,2025-02-17,2025-02-21,COMPLETED,CRITICAL
WO-2025-000297,FG-AUTOSYS-086,FAC-APAC-01,50,50,2025-05-30,2025-06-04,COMPLETED,HIGH
WO-2025-000298,FG-AUTOSYS-041,FAC-MX-01,100,100,2025-08-01,2025-08-08,COMPLETED,HIGH
WO-2025-000299,FG-AUTOSYS-026,FAC-US-01,1000,1000,2025-05-09,2025-05-18,COMPLETED,STANDARD
WO-2025-000300,FG-AUTOSYS-064,FAC-APAC-01,250,250,2026-01-05,2026-01-15,COMPLETED,HIGH
WO-2025-000301,FG-AUTOSYS-081,FAC-US-01,100,100,2026-02-09,2026-02-20,COMPLETED,STANDARD
WO-2025-000302,FG-AUTOSYS-025,FAC-US-01,250,250,2025-02-22,2025-03-03,COMPLETED,HIGH
WO-2025-000303,FG-AUTOSYS-087,FAC-MX-01,250,250,2025-03-01,2025-03-11,COMPLETED,HIGH
WO-2025-000304,FG-AUTOSYS-059,FAC-US-01,500,500,2025-02-26,2025-03-05,COMPLETED,CRITICAL
WO-2025-000305,FG-AUTOSYS-066,FAC-US-01,1000,1000,2025-07-26,2025-07-30,COMPLETED,CRITICAL
WO-2025-000306,FG-AUTOSYS-081,FAC-APAC-01,50,50,2025-05-11,2025-05-23,COMPLETED,CRITICAL
WO-2025-000307,FG-AUTOSYS-097,FAC-APAC-01,1000,1000,2025-05-31,2025-06-06,COMPLETED,STANDARD
WO-2025-000308,FG-AUTOSYS-004,FAC-APAC-01,500,500,2025-12-07,2025-12-12,COMPLETED,CRITICAL
WO-2025-000309,FG-AUTOSYS-062,FAC-EU-01,500,500,2025-02-01,2025-02-09,COMPLETED,STANDARD
WO-2025-000310,FG-AUTOSYS-075,FAC-EU-01,250,250,2025-07-18,2025-07-28,COMPLETED,STANDARD
WO-2025-000311,FG-AUTOSYS-084,FAC-EU-01,100,52,2026-04-10,2026-04-16,IN_PROGRESS,STANDARD
WO-2025-000312,FG-AUTOSYS-082,FAC-MX-01,100,100,2026-01-01,2026-01-05,COMPLETED,CRITICAL
WO-2025-000313,FG-AUTOSYS-082,FAC-MX-01,1000,1000,2025-04-11,2025-04-16,COMPLETED,CRITICAL
WO-2025-000314,FG-AUTOSYS-042,FAC-APAC-01,250,250,2025-04-03,2025-04-13,COMPLETED,HIGH
WO-2025-000315,FG-AUTOSYS-006,FAC-APAC-01,500,500,2025-07-24,2025-07-28,COMPLETED,HIGH
WO-2025-000316,FG-AUTOSYS-038,FAC-APAC-01,250,250,2025-09-28,2025-10-10,COMPLETED,STANDARD
WO-2025-000317,FG-AUTOSYS-001,FAC-EU-01,1000,1000,2025-11-27,2025-12-09,COMPLETED,STANDARD
WO-2025-000318,FG-AUTOSYS-055,FAC-US-01,250,250,2026-01-11,2026-01-21,COMPLETED,CRITICAL
WO-2025-000319,FG-AUTOSYS-010,FAC-US-01,1000,1000,2025-11-23,2025-11-29,COMPLETED,CRITICAL
WO-2025-000320,FG-AUTOSYS-045,FAC-MX-01,1000,1000,2026-04-09,2026-04-14,COMPLETED,STANDARD
WO-2025-000321,FG-AUTOSYS-007,FAC-APAC-01,50,50,2025-05-05,2025-05-09,COMPLETED,STANDARD
WO-2025-000322,FG-AUTOSYS-026,FAC-MX-01,250,250,2025-07-16,2025-07-21,COMPLETED,CRITICAL
WO-2025-000323,FG-AUTOSYS-019,FAC-APAC-01,100,100,2025-06-05,2025-06-08,COMPLETED,STANDARD
WO-2025-000324,FG-AUTOSYS-036,FAC-MX-01,100,100,2025-02-28,2025-03-09,COMPLETED,CRITICAL
WO-2025-000325,FG-AUTOSYS-037,FAC-APAC-01,50,50,2025-06-22,2025-07-05,COMPLETED,HIGH
WO-2025-000326,FG-AUTOSYS-046,FAC-MX-01,500,500,2025-06-10,2025-06-18,COMPLETED,HIGH
WO-2025-000327,FG-AUTOSYS-043,FAC-EU-01,500,500,2025-05-26,2025-06-04,COMPLETED,CRITICAL
WO-2025-000328,FG-AUTOSYS-096,FAC-APAC-01,500,500,2025-11-08,2025-11-19,COMPLETED,CRITICAL
WO-2025-000329,FG-AUTOSYS-071,FAC-EU-01,50,50,2026-03-14,2026-03-24,COMPLETED,CRITICAL
WO-2025-000330,FG-AUTOSYS-050,FAC-MX-01,100,100,2025-06-16,2025-06-28,COMPLETED,STANDARD
WO-2025-000331,FG-AUTOSYS-073,FAC-APAC-01,500,500,2025-01-23,2025-02-03,COMPLETED,CRITICAL
WO-2025-000332,FG-AUTOSYS-065,FAC-US-01,1000,1000,2025-06-07,2025-06-18,COMPLETED,HIGH
WO-2025-000333,FG-AUTOSYS-078,FAC-EU-01,1000,1000,2025-05-01,2025-05-12,COMPLETED,CRITICAL
WO-2025-000334,FG-AUTOSYS-087,FAC-APAC-01,50,50,2025-02-09,2025-02-22,COMPLETED,STANDARD
WO-2025-000335,FG-AUTOSYS-076,FAC-EU-01,250,250,2025-12-11,2025-12-14,COMPLETED,CRITICAL
WO-2025-000336,FG-AUTOSYS-069,FAC-US-01,250,250,2025-04-23,2025-05-05,COMPLETED,HIGH
WO-2025-000337,FG-AUTOSYS-086,FAC-APAC-01,50,50,2026-02-20,2026-02-26,COMPLETED,STANDARD
WO-2025-000338,FG-AUTOSYS-005,FAC-US-01,250,250,2026-01-04,2026-01-13,COMPLETED,HIGH
WO-2025-000339,FG-AUTOSYS-024,FAC-US-01,250,250,2026-01-25,2026-02-07,COMPLETED,CRITICAL
WO-2025-000340,FG-AUTOSYS-011,FAC-EU-01,1000,1000,2025-11-01,2025-11-07,COMPLETED,HIGH
WO-2025-000341,FG-AUTOSYS-023,FAC-MX-01,500,500,2025-04-22,2025-05-03,COMPLETED,STANDARD
WO-2025-000342,FG-AUTOSYS-023,FAC-EU-01,50,50,2025-09-07,2025-09-17,COMPLETED,STANDARD
WO-2025-000343,FG-AUTOSYS-006,FAC-MX-01,500,500,2025-06-24,2025-06-28,COMPLETED,HIGH
WO-2025-000344,FG-AUTOSYS-063,FAC-MX-01,1000,1000,2025-05-05,2025-05-12,COMPLETED,CRITICAL
WO-2025-000345,FG-AUTOSYS-048,FAC-EU-01,50,50,2026-04-07,2026-04-14,COMPLETED,STANDARD
WO-2025-000346,FG-AUTOSYS-037,FAC-MX-01,100,100,2025-11-03,2025-11-06,COMPLETED,HIGH
WO-2025-000347,FG-AUTOSYS-057,FAC-APAC-01,250,250,2025-10-05,2025-10-10,COMPLETED,HIGH
WO-2025-000348,FG-AUTOSYS-094,FAC-EU-01,1000,1000,2025-04-17,2025-04-21,COMPLETED,HIGH
WO-2025-000349,FG-AUTOSYS-097,FAC-APAC-01,50,50,2026-03-30,2026-04-05,COMPLETED,STANDARD
WO-2025-000350,FG-AUTOSYS-059,FAC-EU-01,100,100,2025-02-13,2025-02-16,COMPLETED,CRITICAL
WO-2025-000351,FG-AUTOSYS-016,FAC-APAC-01,500,500,2026-03-03,2026-03-07,COMPLETED,CRITICAL
WO-2025-000352,FG-AUTOSYS-061,FAC-US-01,100,100,2025-05-23,2025-06-01,COMPLETED,HIGH
WO-2025-000353,FG-AUTOSYS-036,FAC-APAC-01,100,100,2025-05-20,2025-05-26,COMPLETED,STANDARD
WO-2025-000354,FG-AUTOSYS-032,FAC-EU-01,100,100,2025-07-01,2025-07-14,COMPLETED,STANDARD
WO-2025-000355,FG-AUTOSYS-088,FAC-EU-01,1000,1000,2026-03-21,2026-04-03,COMPLETED,CRITICAL
WO-2025-000356,FG-AUTOSYS-010,FAC-EU-01,50,50,2025-10-05,2025-10-19,COMPLETED,STANDARD
WO-2025-000357,FG-AUTOSYS-048,FAC-US-01,100,100,2025-05-07,2025-05-21,COMPLETED,HIGH
WO-2025-000358,FG-AUTOSYS-018,FAC-APAC-01,50,50,2026-01-13,2026-01-24,COMPLETED,CRITICAL
WO-2025-000359,FG-AUTOSYS-041,FAC-APAC-01,50,50,2026-03-26,2026-03-31,COMPLETED,CRITICAL
WO-2025-000360,FG-AUTOSYS-053,FAC-MX-01,50,50,2025-06-24,2025-06-29,COMPLETED,STANDARD
WO-2025-000361,FG-AUTOSYS-015,FAC-MX-01,500,500,2025-10-21,2025-10-31,COMPLETED,CRITICAL
WO-2025-000362,FG-AUTOSYS-058,FAC-APAC-01,250,250,2026-02-04,2026-02-17,COMPLETED,STANDARD
WO-2025-000363,FG-AUTOSYS-003,FAC-US-01,500,0,2026-05-10,2026-05-23,PLANNED,STANDARD
WO-2025-000364,FG-AUTOSYS-037,FAC-APAC-01,500,500,2025-02-04,2025-02-14,COMPLETED,CRITICAL
WO-2025-000365,FG-AUTOSYS-012,FAC-EU-01,50,50,2025-05-06,2025-05-13,COMPLETED,HIGH
WO-2025-000366,FG-AUTOSYS-040,FAC-US-01,100,100,2025-11-10,2025-11-18,COMPLETED,CRITICAL
WO-2025-000367,FG-AUTOSYS-057,FAC-US-01,50,50,2025-10-31,2025-11-12,COMPLETED,STANDARD
WO-2025-000368,FG-AUTOSYS-092,FAC-EU-01,500,500,2025-04-26,2025-05-04,COMPLETED,STANDARD
WO-2025-000369,FG-AUTOSYS-083,FAC-EU-01,1000,0,2026-04-23,2026-04-29,PLANNED,CRITICAL
WO-2025-000370,FG-AUTOSYS-056,FAC-EU-01,250,250,2026-03-24,2026-03-30,COMPLETED,STANDARD
WO-2025-000371,FG-AUTOSYS-085,FAC-APAC-01,1000,1000,2026-03-12,2026-03-19,COMPLETED,HIGH
WO-2025-000372,FG-AUTOSYS-066,FAC-EU-01,50,50,2025-05-11,2025-05-25,COMPLETED,STANDARD
WO-2025-000373,FG-AUTOSYS-098,FAC-MX-01,100,100,2025-11-11,2025-11-22,COMPLETED,CRITICAL
WO-2025-000374,FG-AUTOSYS-053,FAC-EU-01,250,250,2025-05-16,2025-05-29,COMPLETED,STANDARD
WO-2025-000375,FG-AUTOSYS-065,FAC-MX-01,50,50,2025-08-26,2025-09-06,COMPLETED,STANDARD
WO-2025-000376,FG-AUTOSYS-040,FAC-APAC-01,50,50,2025-03-18,2025-03-30,COMPLETED,CRITICAL
WO-2025-000377,FG-AUTOSYS-026,FAC-APAC-01,250,250,2026-01-20,2026-01-25,COMPLETED,CRITICAL
WO-2025-000378,FG-AUTOSYS-097,FAC-US-01,1000,1000,2025-08-30,2025-09-05,COMPLETED,CRITICAL
WO-2025-000379,FG-AUTOSYS-046,FAC-EU-01,1000,317,2026-04-13,2026-04-19,IN_PROGRESS,STANDARD
WO-2025-000380,FG-AUTOSYS-013,FAC-EU-01,100,100,2025-08-13,2025-08-16,COMPLETED,HIGH
WO-2025-000381,FG-AUTOSYS-049,FAC-APAC-01,100,100,2025-06-17,2025-07-01,COMPLETED,CRITICAL
WO-2025-000382,FG-AUTOSYS-047,FAC-MX-01,1000,1000,2025-05-28,2025-05-31,COMPLETED,STANDARD
WO-2025-000383,FG-AUTOSYS-024,FAC-EU-01,100,100,2026-02-11,2026-02-21,COMPLETED,CRITICAL
WO-2025-000384,FG-AUTOSYS-090,FAC-EU-01,1000,1000,2025-09-03,2025-09-06,COMPLETED,CRITICAL
WO-2025-000385,FG-AUTOSYS-097,FAC-APAC-01,500,500,2025-02-28,2025-03-07,COMPLETED,STANDARD
WO-2025-000386,FG-AUTOSYS-081,FAC-US-01,1000,0,2026-05-26,2026-06-09,PLANNED,CRITICAL
WO-2025-000387,FG-AUTOSYS-048,FAC-US-01,1000,1000,2026-01-19,2026-01-23,COMPLETED,HIGH
WO-2025-000388,FG-AUTOSYS-073,FAC-US-01,50,50,2025-07-14,2025-07-28,COMPLETED,STANDARD
WO-2025-000389,FG-AUTOSYS-071,FAC-US-01,50,50,2025-06-02,2025-06-14,COMPLETED,STANDARD
WO-2025-000390,FG-AUTOSYS-025,FAC-US-01,50,50,2025-11-08,2025-11-21,COMPLETED,HIGH
WO-2025-000391,FG-AUTOSYS-045,FAC-MX-01,50,50,2025-10-05,2025-10-14,COMPLETED,CRITICAL
WO-2025-000392,FG-AUTOSYS-022,FAC-APAC-01,100,100,2026-02-27,2026-03-09,COMPLETED,CRITICAL
WO-2025-000393,FG-AUTOSYS-093,FAC-EU-01,50,50,2025-09-13,2025-09-22,COMPLETED,HIGH
WO-2025-000394,FG-AUTOSYS-026,FAC-EU-01,250,250,2025-08-26,2025-09-09,COMPLETED,HIGH
WO-2025-000395,FG-AUTOSYS-046,FAC-APAC-01,250,250,2025-02-02,2025-02-12,COMPLETED,HIGH
WO-2025-000396,FG-AUTOSYS-050,FAC-EU-01,500,500,2026-01-25,2026-02-06,COMPLETED,CRITICAL
WO-2025-000397,FG-AUTOSYS-100,FAC-MX-01,1000,1000,2025-12-24,2026-01-01,COMPLETED,STANDARD
WO-2025-000398,FG-AUTOSYS-051,FAC-APAC-01,250,250,2026-03-23,2026-04-04,COMPLETED,STANDARD
WO-2025-000399,FG-AUTOSYS-054,FAC-APAC-01,250,0,2026-05-28,2026-06-05,PLANNED,HIGH
WO-2025-000400,FG-AUTOSYS-034,FAC-MX-01,500,500,2025-02-09,2025-02-23,COMPLETED,STANDARD
WO-2025-000401,FG-AUTOSYS-019,FAC-APAC-01,50,50,2025-05-23,2025-05-29,COMPLETED,CRITICAL
WO-2025-000402,FG-AUTOSYS-065,FAC-EU-01,250,250,2025-03-21,2025-03-28,COMPLETED,CRITICAL
WO-2025-000403,FG-AUTOSYS-015,FAC-US-01,500,500,2025-06-04,2025-06-16,COMPLETED,STANDARD
WO-2025-000404,FG-AUTOSYS-068,FAC-US-01,500,500,2025-09-03,2025-09-16,COMPLETED,CRITICAL
WO-2025-000405,FG-AUTOSYS-059,FAC-EU-01,500,0,2026-05-27,2026-06-04,PLANNED,HIGH
WO-2025-000406,FG-AUTOSYS-024,FAC-EU-01,50,50,2025-12-04,2025-12-07,COMPLETED,HIGH
WO-2025-000407,FG-AUTOSYS-025,FAC-MX-01,500,500,2025-07-22,2025-07-29,COMPLETED,CRITICAL
WO-2025-000408,FG-AUTOSYS-065,FAC-MX-01,100,100,2026-02-21,2026-03-05,COMPLETED,STANDARD
WO-2025-000409,FG-AUTOSYS-037,FAC-MX-01,1000,483,2026-04-10,2026-04-24,IN_PROGRESS,HIGH
WO-2025-000410,FG-AUTOSYS-029,FAC-US-01,1000,1000,2025-06-07,2025-06-10,COMPLETED,STANDARD
WO-2025-000411,FG-AUTOSYS-033,FAC-APAC-01,500,500,2025-01-16,2025-01-20,COMPLETED,CRITICAL
WO-2025-000412,FG-AUTOSYS-030,FAC-APAC-01,500,500,2025-12-08,2025-12-14,COMPLETED,HIGH
WO-2025-000413,FG-AUTOSYS-033,FAC-EU-01,500,500,2025-12-22,2025-12-28,COMPLETED,CRITICAL
WO-2025-000414,FG-AUTOSYS-055,FAC-EU-01,100,100,2025-12-01,2025-12-15,COMPLETED,CRITICAL
WO-2025-000415,FG-AUTOSYS-090,FAC-EU-01,50,50,2025-09-24,2025-09-28,COMPLETED,CRITICAL
WO-2025-000416,FG-AUTOSYS-009,FAC-EU-01,1000,1000,2026-01-22,2026-01-26,COMPLETED,STANDARD
WO-2025-000417,FG-AUTOSYS-058,FAC-US-01,1000,1000,2025-06-05,2025-06-17,COMPLETED,CRITICAL
WO-2025-000418,FG-AUTOSYS-100,FAC-APAC-01,100,100,2025-10-14,2025-10-23,COMPLETED,CRITICAL
WO-2025-000419,FG-AUTOSYS-006,FAC-APAC-01,500,500,2025-08-28,2025-09-10,COMPLETED,STANDARD
WO-2025-000420,FG-AUTOSYS-095,FAC-MX-01,100,100,2025-04-10,2025-04-13,COMPLETED,STANDARD
WO-2025-000421,FG-AUTOSYS-041,FAC-APAC-01,100,100,2025-05-19,2025-05-31,COMPLETED,HIGH
WO-2025-000422,FG-AUTOSYS-014,FAC-MX-01,100,100,2025-03-13,2025-03-22,COMPLETED,STANDARD
WO-2025-000423,FG-AUTOSYS-064,FAC-EU-01,250,250,2026-02-09,2026-02-17,COMPLETED,CRITICAL
WO-2025-000424,FG-AUTOSYS-007,FAC-MX-01,250,250,2026-03-15,2026-03-27,COMPLETED,CRITICAL
WO-2025-000425,FG-AUTOSYS-034,FAC-EU-01,100,100,2025-07-02,2025-07-14,COMPLETED,HIGH
WO-2025-000426,FG-AUTOSYS-080,FAC-APAC-01,50,50,2025-06-28,2025-07-02,COMPLETED,STANDARD
WO-2025-000427,FG-AUTOSYS-022,FAC-EU-01,1000,0,2026-05-24,2026-06-03,BLOCKED_SHORTAGE,STANDARD
WO-2025-000428,FG-AUTOSYS-055,FAC-MX-01,500,500,2025-08-25,2025-09-03,COMPLETED,CRITICAL
WO-2025-000429,FG-AUTOSYS-094,FAC-MX-01,250,250,2026-02-12,2026-02-25,COMPLETED,CRITICAL
WO-2025-000430,FG-AUTOSYS-070,FAC-MX-01,500,500,2025-05-04,2025-05-10,COMPLETED,HIGH
WO-2025-000431,FG-AUTOSYS-073,FAC-US-01,500,500,2025-09-12,2025-09-21,COMPLETED,STANDARD
WO-2025-000432,FG-AUTOSYS-097,FAC-APAC-01,250,250,2026-02-12,2026-02-15,COMPLETED,HIGH
WO-2025-000433,FG-AUTOSYS-064,FAC-US-01,100,100,2026-03-14,2026-03-24,COMPLETED,CRITICAL
WO-2025-000434,FG-AUTOSYS-006,FAC-APAC-01,500,500,2025-07-31,2025-08-13,COMPLETED,CRITICAL
WO-2025-000435,FG-AUTOSYS-007,FAC-MX-01,100,100,2025-10-13,2025-10-17,COMPLETED,STANDARD
WO-2025-000436,FG-AUTOSYS-033,FAC-EU-01,500,500,2026-02-03,2026-02-15,COMPLETED,CRITICAL
WO-2025-000437,FG-AUTOSYS-018,FAC-US-01,500,500,2025-04-12,2025-04-15,COMPLETED,CRITICAL
WO-2025-000438,FG-AUTOSYS-045,FAC-MX-01,100,100,2025-05-11,2025-05-23,COMPLETED,STANDARD
WO-2025-000439,FG-AUTOSYS-017,FAC-APAC-01,1000,1000,2026-01-02,2026-01-16,COMPLETED,HIGH
WO-2025-000440,FG-AUTOSYS-033,FAC-APAC-01,500,500,2026-04-05,2026-04-12,COMPLETED,STANDARD
WO-2025-000441,FG-AUTOSYS-004,FAC-US-01,100,100,2026-02-01,2026-02-07,COMPLETED,CRITICAL
WO-2025-000442,FG-AUTOSYS-060,FAC-MX-01,50,50,2025-08-11,2025-08-21,COMPLETED,STANDARD
WO-2025-000443,FG-AUTOSYS-062,FAC-EU-01,1000,1000,2025-08-11,2025-08-22,COMPLETED,STANDARD
WO-2025-000444,FG-AUTOSYS-043,FAC-APAC-01,100,100,2026-01-29,2026-02-03,COMPLETED,CRITICAL
WO-2025-000445,FG-AUTOSYS-029,FAC-US-01,500,500,2025-04-25,2025-05-08,COMPLETED,HIGH
